notion_id,job_title,company,location,url,track,status,date,match_score,recommended_cv,why_fit,application_strategy,tags
340c6398-3726-813e-9cd6-eb5b02f99dd6,Junior Frontend Developer (m/w/d),eRecht24 GmbH & Co. KG,Berlin (hybrid),https://www.arbeitnow.com/jobs/frontend,Developer,New,2026-04-12,7,CV for Fullstack/Frontend,Junior level React/TypeScript stack full-time English-friendly,Apply with React/TypeScript portfolio highlight fullstack experience,
340c6398-3726-81f9-a0f9-e9fa7130f31b,Junior System Administrator (f/m/d),iVentureGroup GmbH,Berlin,https://jobs.iventuregroup.com/Junior-System-Administrator-fmd-eng-j301.html,Sys Admin,New,2026-04-12,7,CV for Sys Admin,Junior position Linux/Redhat/firewall admin,Apply with Sys Admin CV requires Linux firewall experience,
326c6398-3726-81d1-b18f-daf57394aec9,IT Support / Junior Systemadministrator (w/m/d),ARGUS DATA INSIGHTS,Berlin-Kreuzberg,https://argusdatainsights.recruitee.com/o/it-support-junior-systemadministrator-wmd,Sys Admin,New,2026-03-17,75,CV for Sys Admin,Junior sysadmin role Vollzeit 1st/2nd Level Support,Apply via Recruitee highlight IT degree,
32ec6398-3726-8141-9c5f-fe1d506efaeb,IT Systems Administrator (m/f/x),Progyny Global,Berlin,https://www.arbeitnow.com/jobs/companies/progyny-global/it-systems-administrator-berlin-107230,Sys Admin,New,2026-03-25,7,CV for Sys Admin,Junior-mid level IT SysAdmin M365 Azure AD Jamf,Apply with Sys Admin CV highlight Mac Windows support,
326c6398-3726-8135-8c82-cb971f183333,Barkeeper / Bartender (m/w/d),Pearl 1 Living & Hospitality GmbH,Berlin,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1000297871-S,Bar / Hospitality,New,2026-03-17,70,CV for Hospitality/Restaurant/Bar/Cafe,Full-time bartender role in Berlin good for B1 German,Apply via Arbeitsagentur emphasize customer service,
324c6398-3726-811d-972f-c9f39712134b,Barkeeper / -in,Sticks'n'Sushi,Berlin,https://jobs.sticksnsushi.com/job/hJhVX9b1lkGYNjtEtA0uf,Bar / Hospitality,Applied,2026-03-15,75,CV for Hospitality/Restaurant/Bar/Cafe,Bar position in Berlin Vollzeit English-friendly,Use CV for Hospitality Bar highlight customer service,
340c6398-3726-81cc-91bc-e71bc6dd48aa,OT/IT Junior Support Engineer,Market Logic Software,Berlin (Hybrid),https://marketlogicsoftware.career.softgarden.de/jobs/62336764/OT-IT-Junior-Support-Engineer/,Sys Admin,New,2026-04-12,7,CV for Sys Admin,Junior IT support role English-friendly German is plus not required,Apply with Sys Admin CV highlight IT support background,
321c6398-3726-81be-8311-fdfc2e979180,Cocktail Bartender,The Club Berlin,Berlin,,Bar / Hospitality,New,2026-03-12,,CV for Hospitality/Restaurant/Bar/Cafe,,Bar position cocktails,
311c6398-3726-8155-832c-e1e23226baa6,Junior IT Operations Engineer,MaibornWolff,Berlin,,Sys Admin,New,2026-03-06,,CV for Sys Admin,Junior IT Operations role,Junior IT Operations,
322c6398-3726-81eb-aa5c-ebd36db4aa81,Junior Frontend Web Developer,Tech startup,Berlin,,Developer,New,2026-03-20,,CV for Fullstack/Frontend,,Junior Frontend Web Dev,
321c6398-3726-814c-a64f-d9358ac898c8,Junior System Administrator (f/m/d),Tech company,Berlin,,Sys Admin,New,2026-03-12,,CV for Sys Admin,,Junior Sys Admin,
315c6398-3726-81cc-b0b3-eb34ac8ab9fd,Full-Stack Software Engineer (TypeScript),Startup,Remote,,Developer,New,2026-02-28,,CV for Fullstack/Frontend,,Fullstack TypeScript,
318c6398-3726-81e3-b3ee-d7757fd39ed5,Junior System Administrator (f/m/d),Company,Berlin,,Sys Admin,New,2026-03-03,,CV for Sys Admin,,Junior Sys Admin,
311c6398-3726-818d-8484-cafd84ecf1a1,Bartender / Barkeeper Lobby Bar (m/w/d),Hotel,Berlin,,Bar / Hospitality,New,2026-02-24,,CV for Hospitality/Restaurant/Bar/Cafe,,Bartender,
311c6398-3726-814e-87b4-da3e1a693fa1,Junior Linux Systemadministrator:in (m/w/d),Company,Berlin,,Sys Admin,New,2026-03-06,,CV for Sys Admin,Junior Linux admin role,Junior Linux Sysadmin,
315c6398-3726-814e-9049-d3f77e8ba35f,Full-Stack Software Engineer (m/f/d),Startup,Remote,,Developer,New,2026-03-06,,CV for Fullstack/Frontend,,Fullstack,
318c6398-3726-81f8-9aff-ef4961981895,Betriebsleitung (m/w/d),Company,Berlin,,Bar / Hospitality,New,2026-03-05,,CV for Hospitality/Restaurant/Bar/Cafe,Management role,Management,
311c6398-3726-8144-8ab6-ec64d13618f0,Forward Deployed Engineer,Company,Remote,,Developer,New,2026-02-24,,CV for Fullstack/Frontend,,Forward Deployed Engineer,
311c6398-3726-81b9-9d15-d6719985cc38,Barkeeper (m/w/d) für unser India Club Restaurant,India Club,Berlin,,Bar / Hospitality,New,2026-02-24,,CV for Hospitality/Restaurant/Bar/Cafe,,Barkeeper,
,Software Engineer - Fullstack (Greentech) (m/f/d),Reonic,Berlin,https://startup.jobs/software-engineer-fullstack-greentech-m-f-d-reonic-8302156,Developer,New,2026-08-30,7,CV for Fullstack/Frontend,"Full-time on-site Berlin, B2B SaaS greentech startup, fullstack role",Apply via http://startup.jobs with SaaS fullstack experience,
,Fullstack Developer (m/f/d) Berlin/Hybrid,Würth Cloud Services,Berlin / Hybrid,https://www.wuerth-cs.com/jobs/fullstack-developerm-f-d-berlin-hybrid,Developer,New,2026-08-30,7,CV for Fullstack/Frontend,"React/TypeScript frontend + Python/AWS backend, 3+ years, Berlin hybrid",Apply via Würth careers with React/TypeScript and Python experience,
