notion_id,job_title,company,location,url,track,status,date,match_score,recommended_cv,why_fit,application_strategy,tags
,Systems Administrator (m/w/d) - Pharma & Biotech,Entourage,Berlin,https://englishjobs.de/in/berlin/pharma,Sys Admin,Declined,2026-08-30,5,CV for Sys Admin,Duplicate - already tracked 2026-08-18,Apply via http://englishjobs.de listing - note pharma lab IT specialization,
,Systems Administrator (m/w/d) – Pharma & Biotech,Entourage,"Berlin, Germany",https://de.linkedin.com/jobs/view/systems-administrator-m-w-d-%E2%80%93-pharma-biotech-at-entourage-4451265043,Sys Admin,New,2026-08-18,6,CV for Sys Admin,"Fresh Berlin lab systems administrator role combining sys admin, app management and CSV support.",Apply on LinkedIn with hands-on sys admin and lab IT system experience.,
,IT Support Specialist,Akelius Languages GmbH,Berlin,https://englishjobs.de/in/berlin/it,Sys Admin,New,2026-08-17,7,CV for Sys Admin,"IT service desk Berlin, English-speaking company, Mac/Windows support",Apply via http://englishjobs.de link with sysadmin CV,
,Full Stack Engineer,Root Global,Berlin,https://www.linkedin.com/jobs/view/3937074759,Developer,New,2026-08-17,7,CV for Fullstack/Frontend,"Full-stack role, Berlin office, climate tech startup",Apply via LinkedIn with fullstack CV,
,Bartender,Night Kitchen Berlin,Berlin,https://www.instagram.com/p/DUoVZPPjHGS,Bar / Hospitality,New,2026-08-15,7,CV for Hospitality/Restaurant/Bar/Cafe,"English required, German a plus; 4-5 shifts/week; experience required; Berlin",Email mailto:info@nightkitchenberlin.de; highlight bartending experience; EU passport/work visa,
,Front of House / Barista BER Airport (m/f/d),Brammibal's Donuts,Berlin,https://www.linkedin.com/jobs/food-server-jobs-berlin,Bar / Hospitality,New,2026-08-10,7,CV for Hospitality/Restaurant/Bar/Cafe,"FOH/barista role at vegan donut chain, multilingual environment at Berlin airport",Apply via LinkedIn; highlight barista/FOH customer service experience,
,Founding Engineer,opus,Berlin,https://englishjobs.de/in/berlin/frontend_developer,Developer,New,2026-08-10,7,CV for Fullstack/Frontend,TypeScript + React founding engineer at early-stage Berlin startup,Apply via http://englishjobs.de; highlight TypeScript/React and ownership mindset,
,IT Administrator (m/w/d),Metaflow,Berlin,https://www.linkedin.com/jobs/it-administrator-stellen-berlin,Sys Admin,New,2026-07-22,7,CV for Sys Admin,IT admin role in Berlin. General IT administration duties. Good for sys admin track.,Apply via LinkedIn with sys admin CV,
,IT-Administrator (m/w/d) Inhouse,BAYOONET AG,Berlin,https://www.stepstone.de/jobs/junior-systemadministrator/in-berlin,Sys Admin,New,2026-07-21,7,CV for Sys Admin,IT support/systems administration role in Berlin,Tailor CV highlighting IT support and systems administration experience.,
,Servicemitarbeiter (m/w/d) ab September 2026,Restaurant acht&dreissig,Berlin,https://www.stepstone.de/jobs/servicemitarbeiter-bar/in-berlin,Bar / Hospitality,New,2026-07-21,7,CV for Hospitality/Restaurant/Bar/Cafe,Bar/hospitality role in Berlin,Highlight bartending and hospitality experience.,
,IT Support Engineer (d/f/m),Taxfix,Berlin,https://www.linkedin.com/jobs/support-engineer-jobs-berlin,Sys Admin,New,2026-07-21,7,CV for Sys Admin,IT support/systems administration role in Berlin,Tailor CV highlighting IT support and systems administration experience.,
,IT Onsite Support (all genders) für Berlin-Brandenburg,DATAGROUP,Berlin,https://www.linkedin.com/jobs/information-technology-support-specialist-jobs-berlin,Sys Admin,New,2026-07-21,7,CV for Sys Admin,IT support/systems administration role in Berlin,Tailor CV highlighting IT support and systems administration experience.,
,Trainer:in (M/W/D) Bright Site Berlin,Urban Apes (Bright Site Berlin),Berlin,https://de.linkedin.com/jobs/view/trainer-in-m-w-d-bright-site-berlin-at-urban-apes-group-4421713827,Bouldering Gyms,New,2026-07-21,8,CV for Bouldering Gyms,Bouldering gym position in Berlin,Highlight climbing experience and customer service skills.,
,Tresenkraft (M/W/D) Bright Site Berlin,Urban Apes (Bright Site Berlin),Berlin,https://de.linkedin.com/jobs/view/tresenkraft-m-w-d-bright-site-berlin-at-urban-apes-group-4430389728,Bouldering Gyms,New,2026-07-21,8,CV for Bouldering Gyms,Bouldering gym position in Berlin,Highlight climbing experience and customer service skills.,
,Frontend Engineer,http://Talon.One,Berlin,https://www.linkedin.com/jobs/talonone-frontend-berlin,Developer,New,2026-07-21,7,CV for Fullstack/Frontend,Matches React/TypeScript/fullstack skillset,"Tailor CV highlighting React, TypeScript, and fullstack experience. Write cover letter.",
,Frontend React Developer (m/w/d),Smartbroker AG,Berlin,https://www.linkedin.com/jobs/smartbroker-react-berlin,Developer,New,2026-07-21,7,CV for Fullstack/Frontend,Matches React/TypeScript/fullstack skillset,"Tailor CV highlighting React, TypeScript, and fullstack experience. Write cover letter.",
,Frontend Entwickler React & TypeScript (w/m/d),Finmas GmbH,Berlin,https://www.linkedin.com/jobs/finmas-react-berlin,Developer,New,2026-07-21,7,CV for Fullstack/Frontend,Matches React/TypeScript/fullstack skillset,"Tailor CV highlighting React, TypeScript, and fullstack experience. Write cover letter.",
,"Fullstack Engineer, AdTech (m/f/d)",Delivery Hero,Berlin,https://www.linkedin.com/jobs/delivery-hero-adtech-berlin,Developer,New,2026-07-21,7,CV for Fullstack/Frontend,Matches React/TypeScript/fullstack skillset,"Tailor CV highlighting React, TypeScript, and fullstack experience. Write cover letter.",
,Software Engineer - Frontend,Helsing,Berlin,https://www.linkedin.com/jobs/helsing-frontend-berlin,Developer,New,2026-07-21,7,CV for Fullstack/Frontend,Matches React/TypeScript/fullstack skillset,"Tailor CV highlighting React, TypeScript, and fullstack experience. Write cover letter.",
,Mixologist,CRYBABY Berlin,Berlin,https://de.linkedin.com/jobs/view/mixologist-at-crybaby-berlin-4438407114,Bar / Hospitality,New,2026-07-20,8,CV for Hospitality/Restaurant/Bar/Cafe,Creative cocktail-focused position.,Apply via LinkedIn.,
,IT Support Specialist (all genders),Sunday Natural,Berlin,https://de.linkedin.com/jobs/view/it-support-specialist-all-genders-at-sunday-natural-4422255817,Sys Admin,New,2026-07-20,8,CV for Sys Admin,English-only. MDM/Google Workspace/macOS.,Apply via LinkedIn.,
,System Administrator (m/w/d) mit Entwicklungspotenzial,SysEleven GmbH,Berlin,https://www.linkedin.com/jobs/linux-systemadministrator-stellen-berlin,Sys Admin,New,2026-07-20,8,CV for Sys Admin,OpenStack cloud. Berlin.,Apply via LinkedIn.,
,BARKEEPER (M/W/D),Sir Helga,Berlin,https://de.linkedin.com/jobs/view/barkeeper-m-w-d-at-sir-helga-4438994634,Bar / Hospitality,New,2026-07-20,7,CV for Hospitality/Restaurant/Bar/Cafe,Berlin bar. Newer venue.,Apply via LinkedIn.,
,Bartender,KERB,Berlin,https://de.linkedin.com/jobs/view/bartender-at-kerb-4436360737,Bar / Hospitality,New,2026-07-20,8,CV for Hospitality/Restaurant/Bar/Cafe,14 EUR/hour. Food-focused concept.,Apply via LinkedIn.,
,Barkeeper (m/w/d) (Claerchens Ballhaus),Berlin Hospitality Group,Berlin,https://de.linkedin.com/jobs/view/cl%C3%A4rchens-ballhaus-barkeeper-m-w-d-at-berlin-hospitality-group-4442530058,Bar / Hospitality,New,2026-07-20,8,CV for Hospitality/Restaurant/Bar/Cafe,Historic Berlin institution. 30-31K EUR.,Apply via LinkedIn.,
,Barkeeper (m/w/d) - Berlin EastSide,Peter Pane Burgergrill & Bar,Berlin,https://de.linkedin.com/jobs/view/barkeeper-m-w-d-berlin-eastside-at-peter-pane-burgergrill-bar-4433822406,Bar / Hospitality,New,2026-07-20,7,CV for Hospitality/Restaurant/Bar/Cafe,Popular burger & bar chain. Berlin.,Apply via LinkedIn.,
,Bartender (m/f/*) at Hilton Berlin,Hilton,Berlin,https://de.linkedin.com/jobs/view/bartender-m-f-at-hilton-berlin-at-hilton-4437409797,Bar / Hospitality,New,2026-07-20,8,CV for Hospitality/Restaurant/Bar/Cafe,Major international hotel brand.,Apply via LinkedIn.,
,IT Systemadministrator (m/w/d) - Windows Server / Active Directory,INROS LACKNER SE,Berlin,https://de.indeed.com/q-it-systemadministrator-l-berlin-lichtenberg-jobs.html,Sys Admin,New,2026-07-20,8,CV for Sys Admin,Windows Server/AD sysadmin.,Apply via Indeed.,
