notion_id,job_title,company,location,url,track,status,date,match_score,recommended_cv,why_fit,application_strategy,tags
,Typescript React Expert,Prezly,Remote (CET +/-2hrs),https://remoteok.com/prezly-typescript-react,Developer,New,2026-07-21,7,CV for Fullstack/Frontend,Matches React/TypeScript/fullstack skillset,"Tailor CV highlighting React, TypeScript, and fullstack experience. Write cover letter.",
,Fullstack Software Engineer (Mid/Senior),Jump,Remote (US),https://jobs.ashbyhq.com/jump/a55722a7-2a60-40cf-8d75-60cc1495a2e3,Developer,New,2026-07-15,6,CV for Fullstack/Frontend,"React/Next.js/TypeScript, Node.js, GraphQL, AWS, sports platform","Apply via Ashby - mid-level apply, note US timezone",
,Cloud Technical Support Specialist,Haystack,Berlin Metro,https://jaabz.com/jobs/209227-technical-support-specialist,Sys Admin,New,2026-07-07,6,CV for Sys Admin,"Cloud support, Linux/Windows, Berlin",Apply via jaabz,
,Bar Staff / Bartender (m/f/d),Wilde Matilde,Berlin,https://wildematilde.de/en/jobs,Bar / Hospitality,New,2026-06-30,7,CV for Hospitality/Restaurant/Bar/Cafe,"Bartender, Berlin, fun venue carousel bar",Apply via Wilde Matilde website,
,Barkeeper / Bar Staff / Cocktailmaker,Wilde Matilde,Berlin,https://wildematilde.de/en/jobs/,Bar / Hospitality,New,2026-06-29,7,CV for Hospitality/Restaurant/Bar/Cafe,"International team, cocktail bar, Berlin Mitte",Apply via Wilde Matilde website,
,Bartender Barista Service staff,Teufelsberg Berlin,Berlin,https://www.teufelsberg-berlin.de/en/jobs/,Bar / Hospitality,New,2026-06-29,7,CV for Hospitality/Restaurant/Bar/Cafe,"Unique tourist venue, English-friendly",Apply via Teufelsberg website,
,IT Support Specialist,Planet,Berlin,https://pcdn-global.jobboardly.com/jobs/it-support-specialist-2aa9e998,Sys Admin,New,2026-06-29,6,CV for Sys Admin,"Berlin IT support, international company",Apply via Planet careers,
,Graduate IT Support Specialist,Trade Republic,Berlin,https://boards.greenhouse.io/traderepublicbank/jobs/7766979003,Sys Admin,New,2026-06-26,7,CV for Sys Admin,"IT support entry-level, Berlin, English-friendly fintech",Apply via Greenhouse,
,"Mid/Senior Full Stack Engineer (Typescript, React)",reisetopia GmbH,Berlin,https://reisetopia.jobs.personio.de/job/2180363?language=en,Developer,New,2026-06-15,8,CV for Fullstack/Frontend,"TypeScript, React, Node.js full-stack role in Berlin. €55-75K. Luxury travel platform.",Apply via Personio with tailored CV highlighting full-stack TypeScript/React experience.,
,IT Systems Specialist,Enpal,Berlin,https://www.english-jobs.com/jobs/category/system-administration,Sys Admin,New,2026-06-14,7,CV for Sys Admin,"Berlin-based, English-friendly. IT Systems role at a growing green energy company.",Apply on Enpal careers page.,
,Junior IT Systems Specialist (m/f/d),Flink,Berlin (in-person),https://jobs.smartrecruiters.com/Flink3/744000111082205-junior-it-systems-specialist-m-f-d-,Sys Admin,Declined,2026-03-02,78,,Junior-labeled systems role in Berlin with growth path in IT infrastructure and automation. International team wording indicates English-friendly environment; suitable for B1 German profile.,"Use CV 4 with focus on troubleshooting, Linux/network basics, scripting, and reliability mindset. Keep motivation letter practical and growth-oriented.",
,Lead Fullstack Engineer (React/Next.js),PHONT,Berlin or remote (hybrid-friendly),https://berlinstartupjobs.com/engineering/lead-fullstack-engineer-react-next-js-phont/,Developer,New,2026-02-28,64,,"Strong stack match (React/Next.js, full-time, English working language). Seniority is a stretch (lead-level), so treat as selective reach.","Apply as stretch role: highlight ownership, fullstack delivery, and product impact; keep expectations calibrated due to lead seniority.",
,Senior React Native Mobile Developer,OVOM Care GmbH,"Berlin (Homeoffice moeglich, Vollzeit)",https://www.stepstone.de/job/13263671,Developer,New,2026-02-26,61,,"Tech stack and language fit are strong (React ecosystem + expert English), Berlin and full-time are met; this is a senior stretch role.","Apply only if comfortable as a stretch application. Highlight strongest frontend/mobile projects, ownership, and fast learning trajectory.",
,Senior Frontend Developer,http://PlanA.Earth - Accounting,,https://apply.workable.com/plana/j/9C58BD25D9/apply/?success,Developer,Declined,2024-02-01,,JoshuaBaruaFowleResume%201.pdf,,,
